date    month   hour    min     pa_N    pa_mid  pa_S    quality

01	01	14	09	80	100	120	0
02	01	05	29	50	85	115	2
06	01	14	09	90	110	135	0
06	01	20	09	110	130	>155	1	f
15	01	15	29	75	90	110	1
22	01	10	49	75	95	130	1
25	01	13	29	85	95	105	1
31	01	06	09	90	100	110	0
02	02	01	29	105	130	>160	1
03	02	14	49	80	100	135	2
06	02	07	29	90	100	120	0
07	02	06	49	55	100	150	2
08	02	12	49	75	90	120	1
10	02	19	29	80	100	110	2
12	02	04	49	45	70	125	2
14	02	10	49	<30	75	150	2
16	02	11	29	85	110	120	1
24	02	00	09	80	105	120	0
25	02	00	49	80	120	145	2
01	03	10	09	50	110	>160	2
02	03	01	29	<30	60	120	2
06	03	10	09	45	75	130	2
10	03	10	49	65	75	90	0
12	03	04	09	40	80	100	1
13	03	20	49	<30	50	80	1
19	03	22	09	60	90	120	2
24	03	12	49	70	95	125	2
26	03	18	49	50	80	125	2
30	03	13	29	80	110	155	2
03	04	12	09	50	100	155	2
06	04	04	09	70	85	115	1
08	04	06	49	55	90	125	2
10	04	00	49	70	90	120	1
13	04	11	29	<30	55	140	2
19	04	06	49	<30	130	>160	2
20	04	02	49	<30	50	100	2
22	04	05	29	85	115	135	1
26	04	17	29	80	100	125	0
01	05	20	09	80	100	140	1
04	05	13	29	95	105	120	0
07	05	12	09	40	55	90	1
08	05	09	29	<30	70	>160	2
09	05	02	09	40	60	90	0
12	05	08	49	50	80	110	0
14	05	02	49	75	95	125	1
21	05	00	09	45	60	75	0
23	05	22	09	50	80	130	2
25	05	12	49	50	80	120	0
27	05	23	29	90	115	165	2
01	06	00	09	80	95	140	2
03	06	12	09	<30	70	>150	2
12	06	20	09	<30	50	80	1
15	06	10	09	40	65	90	1
16	06	20	49	40	90	120	2	Secondary structure/CME?
21	06	03	29	30	65	95	1
22	06	23	29	100	115	125	0
24	06	00	09	35	45	70	0
26	06	13	29	70	110	155	1
01	07	08	09	110	130	>155	1
02	07	12	09	30	50	65	1
03	07	14	09	40	75	95	2
05	07	16	09	45	55	75	0
06	07	10	09	50	80	140	2
10	07	19	29	25	95	150	2	Complex structure, almost like multiple ejections.
13	07	00	09	40	50	65	0
17	07	03	29	30	70	110	2
18	07	08	49	85	100	130	0
18	07	16	09	35	60	95	2
28	07	09	29	70	105	125	2
30	07	16	09	<20	50	130	2
01	08	05	29	25	70	140	2
07	08	20	09	30	105	130	2
14	08	12	49	25	140	>150	2
15	08	16	09	25	50	95	2
18	08	06	09	<20	50	120	2	Secondary loop structure erupting ahead to the south.
18	08	21	29	65	90	100	1	Noisy data and irregular structure.
26	08	03	29	85	130	>145	2
04	09	20	49	<20	100	>145	2
07	09	20	09	60	90	120	1	Faint
09	09	07	29	50	70	110	0	
10	09	10	49	80	100	120	0
11	09	07	29	20	65	120	2
14	09	19	29	<20	65	120	2
16	09	00	09	20	50	70	1
17	09	17	29	50	65	100	1
20	09	16	09	85	100	140	2
22	09	17	29	<20	50	60	1
28	09	20	09	70	80	120	0
30	09	17	29	25	65	110	1
03	10	20	09	60	75	90	0
06	10	17	29	40	60	115	2	Data gap missing images at start of event.
07	10	16	49	<15	50	120	2
11	10	06	49	30	90	140	2
14	10	20	49	35	70	95	2	Contains bad data.
18	10	00	09	85	100	>150	1
22	10	02	09	<20	80	105	2
26	10	15	29	60	110	>150	2
29	10	13	29	60	95	115	1
03	11	08	49	60	90	105	1
04	11	03	29	<20	85	>150	2
07	11	18	09	80	100	125	1
09	11	03	29	<20	50	55	1
11	11	14	49	90	95	135	1
13	11	13	29	30	70	130	1
16	11	12	49	85	105	>150	2
19	11	08	49	60	95	>150	1
22	11	14	49	<20	90	>150	2
24	11	10	09	60	90	150	2
29	11	08	09	40	70	100	1
01	12	00	09	60	90	110	1
07	12	02	09	90	110	>150	2
07	12	20	49	40	80	135	2
12	12	08	09	<20	75	>155	2
14	12	18	49	<25	70	130	2
15	12	21	29	70	100	135	2
21	12	00	09	25	60	100	1
23	12	12	49	40	90	135	2
